price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,yr_built
221900,3,1,1180,5650,1,1180,1955
538000,3,2.25,2570,7242,2,2170,1951
180000,2,1,770,10000,1,770,1933
604000,4,3,1960,5000,1,1050,1965
510000,3,2,1680,8080,1,1680,1987
257500,3,2.25,1715,6819,2,1715,1995
291850,3,1.5,1060,9711,1,1060,1963
229500,3,1,1780,7470,1,1050,1960
323000,3,2.5,1890,6560,2,1890,2003
662500,3,2.5,3560,9796,1,1860,1965
468000,2,1,1160,6000,1,860,1942
310000,3,1,1430,19901,1.5,1430,1927
400000,3,1.75,1370,9680,1,1370,1977
530000,5,2,1810,4850,1.5,1810,1900
650000,4,3,2950,5000,2,1980,1979
395000,3,2,1890,14040,2,1890,1994
485000,4,1,1600,4300,1.5,1600,1916
189000,2,1,1200,9850,1,1200,1921
230000,3,1,1250,9774,1,1250,1969
385000,4,1.75,1620,4980,1,860,1947
285000,5,2.5,2270,6300,2,2270,1995
252700,2,1.5,1070,9643,1,1070,1985
329000,3,2.25,2450,6500,2,2450,1985
233000,3,2,1710,4697,1.5,1710,1941
937000,3,1.75,2450,2691,2,1750,1915
667000,3,1,1400,1581,1.5,1400,1909
438000,3,1.75,1520,6380,1,790,1948
719000,4,2.5,2570,7173,2,2570,2005
580500,3,2.5,2320,3980,2,2320,2003
280000,2,1.5,1190,1265,3,1190,2005
687500,4,1.75,2330,5000,1.5,1510,1929
535000,3,1,1090,3000,1.5,1090,1929
322500,4,2.75,2060,6659,1,1280,1981
696000,3,2.5,2300,3060,1.5,1510,1930
550000,4,1,1660,34848,1,930,1933
640000,4,2,2360,6000,2,2360,1904
240000,4,1,1220,8075,1,890,1969
605000,4,2.5,2620,7553,2,2620,1996
625000,4,2.5,2570,5520,2,2570,2000
775000,4,2.25,4220,24186,1,2600,1984
861990,5,2.75,3595,5639,2,3595,2014
685000,3,1,1570,2280,2,1570,1922
309000,3,1,1280,9656,1,920,1959
488000,3,2.5,3160,13603,2,3160,2003
210490,3,1,990,8528,1,990,1966
785000,4,2.5,2290,13416,2,2290,1981
450000,3,1.75,1250,5963,1,1250,1953
228000,3,1,1190,9199,1,1190,1955
345000,5,2.5,3150,9134,1,1640,1966
600000,3,1.75,1410,4080,1,1000,1950
585000,2,1.75,1980,8550,1,990,1981
920000,5,2.25,2730,6000,1.5,2130,1927
885000,4,2.5,2830,5000,2,2830,1995
292500,4,2.5,2250,4495,2,2250,2008
301000,3,2.5,2420,4750,2,2420,2003
951000,5,3.25,3250,14342,2,3250,1968
430000,4,3,1850,9976,2,1850,1991
650000,3,2.25,2150,21235,1,1590,1959
289000,3,1.75,1260,8400,1,1260,1954
505000,3,1.75,2519,8690,2,2519,1973
549000,3,1.75,1540,1044,3,1540,2014
425000,3,2.25,1660,6000,1,1110,1979
317625,3,2.75,2770,3809,1.5,1770,1925
975000,4,2.5,2720,11049,2,2720,1989
287000,4,2.5,2240,4648,2,2240,2005
204000,3,1,1000,12070,1,1000,1968
325000,3,2,1260,5612,1,1260,1972
571000,4,2,2750,7807,1.5,2250,1916
360000,4,2.5,2380,5000,2,2380,2005
349000,3,1.75,1790,50529,1,1090,1965
832500,4,4,3430,35102,2,2390,1986
380000,4,1.75,1760,7300,1,880,1956
480000,3,1,1040,5060,1,1040,1941
410000,3,1,1410,5060,1,910,1956
720000,4,2.5,3450,39683,2,3450,2002
390000,3,2.5,2350,5100,2,2350,2003
360000,4,2.5,1900,5889,2,1900,1992
355000,2,1,2020,6720,1,1010,1948
356000,3,1.5,1680,8712,1,1680,1964
315000,3,1,960,6634,1,960,1952
